num_data,num_medoids,loss,misc_complexity,build_complexity,swap_complexity,number_of_swaps,cache_writes,cache_hits,cache_misses,total_complexity_without_misc,total_complexity_with_misc,total_complexity_with_caching,average_complexity_with_caching,average_runtime,total_runtime
1000,5,0.0,1265000,3445900,0,0,0,0,0,3445900,4710900,4710900,0.0,1.919023036956787,1.919023036956787
5000,5,0.0,25075000,19544100,0,0,0,0,0,19544100,44619100,44619100,0.0,18.24698305130005,18.24698305130005
1000,5,0.0,2520000,3445900,1214400,1,0,0,0,4660300,7180300,7180300,607200.0,1.475760579109192,2.951521158218384
5000,5,0.0,50100000,19544100,4224100,1,0,0,0,23768200,73868200,73868200,2112050.0,15.466206908226011,30.932413816452023
1000,5,86.80412292480469,3775000,3445900,2316200,2,0,0,0,5762100,9537100,9537100,772066.6666666666,1.3019059499104817,3.905717849731445
5000,5,87.5876235961914,75125000,19544100,9802900,2,0,0,0,29347000,104472000,104472000,3267633.333333333,14.51642926534017,43.54928779602051
1000,5,86.80412292480469,3775000,3445900,2316200,2,0,0,0,5762100,9537100,9537100,772066.6666666666,1.3037013212839763,3.9111039638519287
5000,5,87.5876235961914,75125000,19544100,9802900,2,0,0,0,29347000,104472000,104472000,3267633.333333333,14.389023939768473,43.16707181930542
1000,5,86.80412292480469,3775000,3445900,2316200,2,0,0,0,5762100,9537100,9537100,772066.6666666666,1.3025869528452556,3.907760858535767
1000,5,86.80412292480469,3775000,3445900,2316200,2,0,0,0,5762100,9537100,9537100,772066.6666666666,1.306524674097697,3.919574022293091
1000,5,86.80412292480469,3775000,3445900,2316200,2,0,0,0,5762100,9537100,9537100,772066.6666666666,1.298667033513387,3.896001100540161
1000,5,86.80412292480469,3775000,3445900,2316200,2,0,0,0,5762100,9537100,9537100,772066.6666666666,1.2989569505055745,3.8968708515167236
